dsArticulo,marca_linea,proveedor_ref
AMERICANA,CREMAS HELADAS,CREMAS HELADAS DE MALVINAS SRL
ARROZ C-LECHE X 180 GRS TREGAR,TREGAR LACTEOS,GARCIA HNOS AGROINDUSTRIAL SRL
ARROZ C-LECHE Y DDL X 180 GRS,TREGAR LACTEOS,GARCIA HNOS AGROINDUSTRIAL SRL
BACON FET PALADINI X 150 GRS,PALADINI FETEADOS,FRIGORIFICO PALADINI SA
BANANA SPLIT,CREMAS HELADAS,CREMAS HELADAS DE MALVINAS SRL
BASTONES MOZZ X 5 KG GTA,GRANJA TRES ARROYOS FOOD SERVICE,GRANJA TRES ARROYOS SOCIEDAD ANONIMA
BOCADITO CALABAZA GRANGYS X 5 KG,GRANGYS CONGELADOS,GONZALEZ PABLO
BOCADITO DE POLLO GRANGYS X 400 GRS,GRANGYS RETAIL,GONZALEZ PABLO
BOCADITO ESPINACA GRANGYS X 5 KG,GRANGYS CONGELADOS,GONZALEZ PABLO
BOCADITO POLLO C/CHEDDAR X 5 KG GTA,GRANJA TRES ARROYOS FOOD SERVICE,GRANJA TRES ARROYOS SOCIEDAD ANONIMA
BOCADITO POLLO X 1 KG GTA,GRANJA TRES ARROYOS FOOD SERVICE,GRANJA TRES ARROYOS SOCIEDAD ANONIMA
BOCADITO POLLO X 5 KG GTA,GRANJA TRES ARROYOS FOOD SERVICE,GRANJA TRES ARROYOS SOCIEDAD ANONIMA
BOCADITO POLLO X 800 GRS GTA,GRANJA TRES ARROYOS RETAIL,GRANJA TRES ARROYOS SOCIEDAD ANONIMA
BONDIOLA DE CERDO CONGELADA SADIA X KG,SADIA FOOD SERVICE,QUICKFOOD SA
BONDIOLA FET X 120 GRS,PALADINI FETEADOS,FRIGORIFICO PALADINI SA
BONDIOLA X KG PALADINI,PALADINI REFRIGERADOS,FRIGORIFICO PALADINI SA
BURGER 100% VEGETAL X 226 GRS VEGETALEX,VEGETALEX RETAIL,PROTEINAS ARGENTINAS SA
CAÑONCITOS DE MUZZARELLA GRANGYS X 6 KG,GRANGYS CONGELADOS,GONZALEZ PABLO
CEREZA AL MARRASCHINO,CREMAS HELADAS,CREMAS HELADAS DE MALVINAS SRL
CHOCOLATE,CREMAS HELADAS,CREMAS HELADAS DE MALVINAS SRL
CHOCOLATE BLANCO,CREMAS HELADAS,CREMAS HELADAS DE MALVINAS SRL
CHOCOLATE CHICHI,CREMAS HELADAS,CREMAS HELADAS DE MALVINAS SRL
COSTILLA DE CERDO X KG PALADINI,PALADINI CORTES DE CERDO,FRIGORIFICO PALADINI SA
CREMA CHANT TONADITA X 250 GRS (X 6 UN),TONADITA,ELCOR S.A
CREMA DE LECHE 39% LA PAULINA X 5 LT,PAULINA LACTEOS,MOLFINO HNOS S.A.
CREMA DE LECHE 39% X 5 LT MILKAUT,MILKAUT LACTEOS,MILKAUT SA
CREMA DE LECHE 44% LA PAULINA X 5 LT,PAULINA LACTEOS,MOLFINO HNOS S.A.
CREMA DE LECHE 44% X 5 LT MILKAUT,MILKAUT LACTEOS,MILKAUT SA
CREMA DE LECHE X 200 GRS TREGAR,TREGAR LACTEOS,GARCIA HNOS AGROINDUSTRIAL SRL
CREMA DE LECHE X 350 GRS TREGAR,TREGAR LACTEOS,GARCIA HNOS AGROINDUSTRIAL SRL
CRISPY PECHUGA POLLO X 1 KG GTA,GRANJA TRES ARROYOS FOOD SERVICE,GRANJA TRES ARROYOS SOCIEDAD ANONIMA
CRISPY PECHUGA POLLO X 5 KG GTA,GRANJA TRES ARROYOS FOOD SERVICE,GRANJA TRES ARROYOS SOCIEDAD ANONIMA
CROQ BROCOLI Y Q. X 1 KG GTA,GRANJA TRES ARROYOS FOOD SERVICE,GRANJA TRES ARROYOS SOCIEDAD ANONIMA
CROQ CALABAZA Y Q. X 1 KG GTA,GRANJA TRES ARROYOS FOOD SERVICE,GRANJA TRES ARROYOS SOCIEDAD ANONIMA
CROQ ESPINACA Y Q. X 1 KG GTA,GRANJA TRES ARROYOS FOOD SERVICE,GRANJA TRES ARROYOS SOCIEDAD ANONIMA
DDL FAMILIAR BALDE X 10 KG VACALIN,VACALIN SECOS,ERNESTO RODRIGUEZ E HIJOS SA
DDL REPOSTERO BALDE X 10 KG VACALIN,VACALIN SECOS,ERNESTO RODRIGUEZ E HIJOS SA
DDL TREGAR X 200 GRS,TREGAR SECOS,GARCIA HNOS AGROINDUSTRIAL SRL
DDL TREGAR X 400 GRS,TREGAR SECOS,GARCIA HNOS AGROINDUSTRIAL SRL
DINOS DE POLLO GRANGYS X 400 GRS,GRANGYS RETAIL,GONZALEZ PABLO
DINOS DE POLLO GRANGYS X 5 KG,GRANGYS CONGELADOS,GONZALEZ PABLO
DULCE DE LECHE BOMBON,CREMAS HELADAS,CREMAS HELADAS DE MALVINAS SRL
DULCE DE LECHE GRANIZADO,CREMAS HELADAS,CREMAS HELADAS DE MALVINAS SRL
FIAMBRE DE CERDO X 6 KG PALADINI,PALADINI REFRIGERADOS,FRIGORIFICO PALADINI SA
"FIAMBRE DE PATA X 4,5 KG PALADINI",PALADINI REFRIGERADOS,FRIGORIFICO PALADINI SA
FIAMBRE PARA EMP X KG JET-FOOD,GRANJA TRES ARROYOS REFRIGERADOS,GRANJA TRES ARROYOS SOCIEDAD ANONIMA
FIAMBRE PATA CERDO X KG CAGNOLI,CANOGLI REFRIGERADOS,CANOGLI
FIAMBRE PATA CERDO X KG LA COMARCA,GRANJA TRES ARROYOS REFRIGERADOS,GRANJA TRES ARROYOS SOCIEDAD ANONIMA
FRUTILLA A LA CREMA,CREMAS HELADAS,CREMAS HELADAS DE MALVINAS SRL
FRUTILLA X 500 GRS BIOMAC,BIOMAC FOOD SERVICE,BIOMAC SRL
FRUTOS DEL BOSQUE X 500 GRS BIOMAC,BIOMAC FOOD SERVICE,BIOMAC SRL
FRUTOS ROJOS X 500 GRS BIOMAC,BIOMAC FOOD SERVICE,BIOMAC SRL
HAMB 2 X 80 GRS FRIAR,FRIAR RETAIL,FRIAR S. A
HAMB 24 X 198 GRS FRIAR,FRIAR RETAIL,FRIAR S. A
HAMB 4 X 80 GRS FRIAR,FRIAR RETAIL,FRIAR S. A
HAMB 40 X 125 GRS FRIAR,FRIAR RETAIL,FRIAR S. A
HAMB CARNE 60 X 80 GRS PALADINI,SIN CATEGORIA,FRIGORIFICO PALADINI SA
HAMB DE POLLO X 166 GRS GTA,GRANJA TRES ARROYOS RETAIL,GRANJA TRES ARROYOS SOCIEDAD ANONIMA
HAMB DE SOJA TRADICIONAL 4 X 75 GRS VEGETALEX,VEGETALEX RETAIL,PROTEINAS ARGENTINAS SA
HAMB FINAS PALADINI 36 X 114 GRS,SIN CATEGORIA,FRIGORIFICO PALADINI SA
HAMB FINITO 2 X 55 GRS FRIAR,FRIAR RETAIL,FRIAR S. A
HAMB GRANDE 40 X 110 GRS FRIAR,FRIAR RETAIL,FRIAR S. A
HOT-DOG 100% VEGETAL X 225 GRS VEGETALEX,VEGETALEX RETAIL,PROTEINAS ARGENTINAS SA
HUMMUS BABAGANOUSH KAMAR X 230 GRS,PALADINI REFRIGERADOS,FRIGORIFICO PALADINI SA
HUMMUS CLASICO KAMAR X 230 GRS,PALADINI REFRIGERADOS,FRIGORIFICO PALADINI SA
HUMMUS GUACAMOLE KAMAR X 230 GRS,PALADINI REFRIGERADOS,FRIGORIFICO PALADINI SA
HUMMUS OLIVAS NEGRAS KAMAR X 230 GRS,PALADINI REFRIGERADOS,FRIGORIFICO PALADINI SA
HUMMUS PIMENTÓN KAMAR X 230 GRS,PALADINI REFRIGERADOS,FRIGORIFICO PALADINI SA
HUMMUS SESAMO Y AJO KAMAR X 230 GRS,PALADINI REFRIGERADOS,FRIGORIFICO PALADINI SA
JAMON COCIDO CLAS X 6 KG PALADINI,PALADINI REFRIGERADOS,FRIGORIFICO PALADINI SA
JAMON COCIDO CLAS X KG CAGNOLI,CANOGLI REFRIGERADOS,CANOGLI
JAMON COCIDO FET PALADINI X 200 GRS,PALADINI FETEADOS,FRIGORIFICO PALADINI SA
"JAMON COCIDO RED SODIO X 4,5 KG PALADINI",PALADINI REFRIGERADOS,FRIGORIFICO PALADINI SA
JAMON COCIDO X KG LA COMARCA,GRANJA TRES ARROYOS REFRIGERADOS,GRANJA TRES ARROYOS SOCIEDAD ANONIMA
JAMON CRU B-CHICO X KG PALADINI,PALADINI REFRIGERADOS,FRIGORIFICO PALADINI SA
JAMON CRU ESPUÑA 1/2 PALADINI X KG,PALADINI REFRIGERADOS,FRIGORIFICO PALADINI SA
JAMON CRU ESPUÑA X KG PALADINI,PALADINI REFRIGERADOS,FRIGORIFICO PALADINI SA
JAMON CRUDO MEDIO X KG  JET-FOOD,GRANJA TRES ARROYOS REFRIGERADOS,GRANJA TRES ARROYOS SOCIEDAD ANONIMA
JAMON NAT X KG L´ABRATTO,PALADINI L´ABRATTO,FRIGORIFICO PALADINI SA
JAMÓN CRUDO FET PALADINI X 120 GRS,PALADINI FETEADOS,FRIGORIFICO PALADINI SA
JAMÓN RED SODIO FET X 150 GRS,PALADINI FETEADOS,FRIGORIFICO PALADINI SA
LEBERWURST X 150 GRS CAGNOLI,CANOGLI REFRIGERADOS,CANOGLI
LEBERWURST X 250 GRS PALADINI,PALADINI REFRIGERADOS,FRIGORIFICO PALADINI SA
LECHE CHOCOLATA X 1 LT TREGAR,TREGAR SECOS,GARCIA HNOS AGROINDUSTRIAL SRL
LECHE CHOCOLATA X 200 ML TREGAR,TREGAR SECOS,GARCIA HNOS AGROINDUSTRIAL SRL
LECHE DESCREMADA 12 X 1 LT TREGAR,TREGAR SECOS,GARCIA HNOS AGROINDUSTRIAL SRL
LECHE DESLACTOSADA 12 X 1 LT TREGAR,TREGAR SECOS,GARCIA HNOS AGROINDUSTRIAL SRL
LECHE ENTERA 12 X 1 LT TREGAR,TREGAR SECOS,GARCIA HNOS AGROINDUSTRIAL SRL
LIMON PG X 1KG,FABBRI SECOS,FABBRI S.R.L
LOMO COCIDO FET PALADINI X 120 GRS,PALADINI FETEADOS,FRIGORIFICO PALADINI SA
LOMO COCIDO X 2 KG PALADINI,PALADINI REFRIGERADOS,FRIGORIFICO PALADINI SA
LOMO HORN C-HIERBAS X KG L´ ABRATTO,PALADINI L´ABRATTO,FRIGORIFICO PALADINI SA
MANT. LA PAULINA X 5 KG,PAULINA LACTEOS,MOLFINO HNOS S.A.
MANT. PRIMER PREMIO X 100 GRS (X 6KG),DOBLE A LACTEOS,ALTO ALEGRE DOBLE A SA
MANT. PRIMER PREMIO X 200 GRS (X 6KG),DOBLE A LACTEOS,ALTO ALEGRE DOBLE A SA
MANT. X 200 GRS VACALIN,VACALIN LACTEOS,ERNESTO RODRIGUEZ E HIJOS SA
MANT. X 5 KG (BULTO X 4 UNI) VACALIN,VACALIN LACTEOS,ERNESTO RODRIGUEZ E HIJOS SA
MANT. X 5 KG MILKAUT,MILKAUT LACTEOS,MILKAUT SA
MANTECA TONADITA X 100 GRS,TONADITA,ELCOR S.A
MANTECA TONADITA X 200 GRS,TONADITA,ELCOR S.A
MANTECOL,CREMAS HELADAS,CREMAS HELADAS DE MALVINAS SRL
MARACUYA CON-SEMILLA X 500 GRS BIOMAC,BIOMAC FOOD SERVICE,BIOMAC SRL
MC CAIN AIRFRYER X700GRS,MC CAIN RETAIL,MC CAIN ARGENTINA SA
"MC CAIN ARVEJAS X 2,000 KG",MC CAIN VEGETALES,MC CAIN ARGENTINA SA
MC CAIN BASTONES DE MOZZ X 2 KG,MC CAIN FOOD SERVICE,MC CAIN ARGENTINA SA
MC CAIN BITE ESP/QUESO. X 2 KG,MC CAIN FOOD SERVICE,MC CAIN ARGENTINA SA
MC CAIN BITE PROVOLONE X 1.05 KG,MC CAIN FOOD SERVICE,MC CAIN ARGENTINA SA
MC CAIN BONIATO X 2.5 KG,MC CAIN FOOD SERVICE,MC CAIN ARGENTINA SA
"MC CAIN BROCOLI X 2,000 KG",MC CAIN VEGETALES,MC CAIN ARGENTINA SA
"MC CAIN CHAUCHA X 2,000 KG",MC CAIN VEGETALES,MC CAIN ARGENTINA SA
MC CAIN CHEESE PILLOWS X 1 KG,MC CAIN FOOD SERVICE,MC CAIN ARGENTINA SA
"MC CAIN CHOCLO X 2,000 KG",MC CAIN VEGETALES,MC CAIN ARGENTINA SA
MC CAIN CORTE CRINKLE X 600 GRS,MC CAIN RETAIL,MC CAIN ARGENTINA SA
"MC CAIN CORTE FINO X 2,250 KG",MC CAIN FOOD SERVICE,MC CAIN ARGENTINA SA
"MC CAIN CRINKLE X 2,500 KG",MC CAIN FOOD SERVICE,MC CAIN ARGENTINA SA
"MC CAIN CRISPERS X 2,500 KG",MC CAIN FOOD SERVICE,MC CAIN ARGENTINA SA
MC CAIN CRISPERS X 600 GRS,MC CAIN RETAIL,MC CAIN ARGENTINA SA
"MC CAIN CROSSTRAX X 2,000 KG",MC CAIN FOOD SERVICE,MC CAIN ARGENTINA SA
"MC CAIN ESPINACA X 2,000 KG",MC CAIN VEGETALES,MC CAIN ARGENTINA SA
"MC CAIN GAST X 2,500 KG",MC CAIN FOOD SERVICE,MC CAIN ARGENTINA SA
MC CAIN GOLAZO X 700 GRS,MC CAIN RETAIL,MC CAIN ARGENTINA SA
MC CAIN GUACAMOLE X 450 GRS,MC CAIN FOOD SERVICE,MC CAIN ARGENTINA SA
MC CAIN HORNEABLE  X 700 GR,MC CAIN RETAIL,MC CAIN ARGENTINA SA
"MC CAIN NOISETTE X 2,500 KG",MC CAIN FOOD SERVICE,MC CAIN ARGENTINA SA
MC CAIN NOISETTE X 600 GRS,MC CAIN RETAIL,MC CAIN ARGENTINA SA
"MC CAIN ONE FRY X 2,500 KG",MC CAIN FOOD SERVICE,MC CAIN ARGENTINA SA
"MC CAIN PARRILLERA X 2,500 KG",MC CAIN FOOD SERVICE,MC CAIN ARGENTINA SA
MC CAIN PICKERS AROS DE CEBOLLA X 1 KG,MC CAIN FOOD SERVICE,MC CAIN ARGENTINA SA
MC CAIN PULPA DE PALTA X 450 GRS,MC CAIN FOOD SERVICE,MC CAIN ARGENTINA SA
MC CAIN PURE PAPA EN ESCAMA X 20 KG,MC CAIN FOOD SERVICE,MC CAIN ARGENTINA SA
"MC CAIN SMILES X 1,500 KG",MC CAIN FOOD SERVICE,MC CAIN ARGENTINA SA
MC CAIN SMILES X 400 GRS,MC CAIN RETAIL,MC CAIN ARGENTINA SA
MC CAIN SMILES X 700 GRS,MC CAIN RETAIL,MC CAIN ARGENTINA SA
"MC CAIN SURECRISP 7X7 X 2,250 KG",MC CAIN FOOD SERVICE,MC CAIN ARGENTINA SA
"MC CAIN SURECRISP 9X9 X 2,500 KG",MC CAIN FOOD SERVICE,MC CAIN ARGENTINA SA
"MC CAIN TRAD 9X9 X 2,500 KG",MC CAIN FOOD SERVICE,MC CAIN ARGENTINA SA
MC CAIN TRAD X 1.4 KG,MC CAIN RETAIL,MC CAIN ARGENTINA SA
MC CAIN TRAD X 400 GRS,MC CAIN RETAIL,MC CAIN ARGENTINA SA
MC CAIN TRAD X 700 GRS,MC CAIN RETAIL,MC CAIN ARGENTINA SA
MC CAIN TRIANGULO MOZZARELLA X 2 KG,MC CAIN FOOD SERVICE,MC CAIN ARGENTINA SA
MC CAIN WAFFLE CONG CHOCOLATE X 210 GRS,MC CAIN RETAIL,MC CAIN ARGENTINA SA
MC CAIN WAFFLE CONG PAN DE QUESO X 200 GRS,MC CAIN RETAIL,MC CAIN ARGENTINA SA
MC CAIN WAFFLE CONG TRADICIONAL X 210 GRS,MC CAIN RETAIL,MC CAIN ARGENTINA SA
MEDALLON CAL-AVEN-CHIA X 300 GRS VEGETALEX,VEGETALEX RETAIL,PROTEINAS ARGENTINAS SA
MEDALLON ESPINACA X 300 GRS VEGETALEX,VEGETALEX RETAIL,PROTEINAS ARGENTINAS SA
